seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
135,34204.398386311,164282585585850,164282585604334,0,-1,TAKE_LIQUIDITY,0.0,BUY
136,34204.56766787,164282605615007,164282605634864,0,-1,TAKE_LIQUIDITY,0.0,BUY
137,34204.567694597,164282625631490,164282625644414,0,-1,TAKE_LIQUIDITY,0.0,BUY
138,34204.567732501,164282645652521,164282645668311,0,-1,TAKE_LIQUIDITY,0.0,BUY
139,34204.570825637,164282665672621,164282665684624,0,-1,TAKE_LIQUIDITY,0.0,BUY
140,34204.576711342,164282685688052,164282685699313,0,-1,TAKE_LIQUIDITY,0.0,BUY
141,34204.577104419,164282705719834,164282705735914,0,-1,TAKE_LIQUIDITY,0.0,BUY
142,34204.62133869,164282725749432,164282725767986,0,-1,TAKE_LIQUIDITY,0.0,BUY
143,34204.894275109,164282745766466,164282745778979,0,-1,TAKE_LIQUIDITY,0.0,BUY
144,34204.894471165,164282765799319,164282765824667,0,-1,TAKE_LIQUIDITY,0.0,BUY
145,34205.175095396,164282785821533,164282785835439,0,-1,TAKE_LIQUIDITY,0.0,BUY
146,34205.175277367,164282805851421,164282805870668,0,-1,TAKE_LIQUIDITY,0.0,BUY
147,34205.175293104,164282825877543,164282825895747,0,-1,TAKE_LIQUIDITY,0.0,BUY
148,34205.175294192,164282845895689,164282845907120,0,-1,TAKE_LIQUIDITY,0.0,BUY
149,34205.181076298,164282865923423,164282865943451,0,-1,TAKE_LIQUIDITY,0.0,BUY
150,34205.308995297,164282885963651,164282885986574,0,-1,TAKE_LIQUIDITY,0.0,BUY
151,34205.388462148,164282905993619,164282906015560,0,-1,TAKE_LIQUIDITY,0.0,BUY
152,34205.734539337,164282926018778,164282926038535,0,-1,TAKE_LIQUIDITY,0.0,BUY
153,34205.734539337,164282946035652,164282946047995,0,-1,TAKE_LIQUIDITY,0.0,BUY
154,34205.765156633,164282966063967,164282966086800,0,-1,TAKE_LIQUIDITY,0.0,BUY
155,34205.765156633,164282986082154,164282986095018,0,-1,TAKE_LIQUIDITY,0.0,BUY
156,34205.765257746,164283006106992,164283006126038,0,-1,TAKE_LIQUIDITY,0.0,BUY
157,34205.765316823,164283026121452,164283026132883,0,-1,TAKE_LIQUIDITY,0.0,BUY
158,34205.766878478,164283046145609,164283046162421,0,-1,TAKE_LIQUIDITY,0.0,BUY
159,34205.768387095,164283066160229,164283066171660,0,-1,TAKE_LIQUIDITY,0.0,BUY
160,34205.771753648,164283086183925,164283086203101,0,-1,TAKE_LIQUIDITY,0.0,BUY
161,34206.290141263,164283106206860,164283106224604,0,-1,TAKE_LIQUIDITY,0.0,BUY
162,34206.290260156,164283126219747,164283126229575,0,-1,TAKE_LIQUIDITY,0.0,BUY
163,34206.290261072,164283146238424,164283146257970,0,-1,TAKE_LIQUIDITY,0.0,BUY
164,34206.290892881,164283166252122,164283166261770,0,-1,TAKE_LIQUIDITY,0.0,BUY
165,34206.29123036,164283186268855,164283186281168,0,-1,TAKE_LIQUIDITY,0.0,BUY
166,34206.291527335,164283206298272,164283206321917,0,-1,TAKE_LIQUIDITY,0.0,BUY
167,34206.291814072,164283226311910,164283226321568,0,-1,TAKE_LIQUIDITY,0.0,BUY
168,34206.291925675,164283246330768,164283246342900,0,-1,TAKE_LIQUIDITY,0.0,BUY
169,34206.29195232,164283266344365,164283266355156,0,-1,TAKE_LIQUIDITY,0.0,BUY
170,34206.292254316,164283286368773,164283286383781,0,-1,TAKE_LIQUIDITY,0.0,BUY
171,34206.801157647,164283306392931,164283306407949,0,-1,TAKE_LIQUIDITY,0.0,BUY
172,34206.965352065,164283326412299,164283326425394,0,-1,TAKE_LIQUIDITY,0.0,BUY
173,34206.965510203,164283346430385,164283346449231,0,-1,TAKE_LIQUIDITY,0.0,BUY
174,34208.041353062,164283366451176,164283366464992,0,-1,TAKE_LIQUIDITY,0.0,BUY
175,34208.48306653,164283386463792,164283386474803,0,-1,TAKE_LIQUIDITY,0.0,BUY
176,34209.21194364,164283406481798,164283406494242,0,-1,TAKE_LIQUIDITY,0.0,BUY
177,34209.477500287,164283426500886,164283426515423,0,-1,TAKE_LIQUIDITY,0.0,BUY
178,34209.481087627,164283446514163,164283446523911,0,-1,TAKE_LIQUIDITY,0.0,BUY
179,34209.489945829,164283466532460,164283466545354,0,-1,TAKE_LIQUIDITY,0.0,BUY
